"EPCI","LIBEPCI","NATURE_EPCI"
"240300491","CC du Pays de Lapalisse","CC"
"240300533","CC du Bassin de Gannat","CC"
"240300558","CC du Pays de Tronçais","CC"
"240300566","CC du Val de Cher","CC"
"240300582","CC Commentry-Néris les Bains","CC"
"240300590","CC de la Région de Montmarault","CC"
"240300608","CA Montluçonnaise","CA"
"240300616","CA de Moulins","CA"
"240300624","CC du Pays de Marcillat en Combraille","CC"
"240300640","CC Val de Besbre - Sologne Bourbonnaise","CC"
"240300657","CC du Pays d'Huriel","CC"
"240300673","CC le Donjon - Val Libre","CC"
"240300681","CC Sioule, Colettes et Bouble","CC"
"240300699","CC en Pays Saint-Pourcinois","CC"
"240300707","CC Varennes-Forterre","CC"
"240300715","CC Bocage sud","CC"
"240300723","CC du Pays de Lévis en Bocage bourbonnais","CC"
"240300731","CC en Bocage Bourbonnais","CC"
"240300756","CC du Pays de Chevagnes en Sologne Bourbonnaise","CC"
"240400010","CC du Teillon","CC"
"240400135","CC du Pays de Seyne","CC"
"240400275","CC Ubaye/Serre-Ponçon","CC"
"240400283","CC du Sisteronais","CC"
"240400291","CC de la Moyenne-Durance","CC"
"240400366","CC de Haute-Provence","CC"
"240400374","CC Vallée de l'Ubaye","CC"
"240400382","CC du Moyen-Verdon","CC"
"240400408","CC des Duyes et Bléone","CC"
"240400440","CC Pays Forcalquier et Montagne de Lure","CC"
"240400481","CC de la Vallée du Jabron","CC"
"240400499","CC du Pays de Banon","CC"
"240400507","CC de Haute-Bléone","CC"
"240400515","CC du Haut-Verdon Val d'Allos","CC"
"240400523","CC Terres de Lumière","CC"
"240400531","CC Lure Vançon Durance","CC"
"240500181","CC du Haut-Buëch","CC"
"240500199","CC Buëch Dévoluy","CC"
"240500215","CC du Champsaur","CC"
"240500223","CC du Queyras","CC"
"240500314","CC de Tallard-Barcillonnette","CC"
"240500322","CC du Canton de Ribiers Val de Méouge","CC"
"240500330","CC du Haut-Champsaur","CC"
"240500348","CC du Valgaudemar","CC"
"240500363","CC de l'Embrunais","CC"
"240500389","CC du Laragnais","CC"
"240500397","CC du Serrois","CC"
"240500413","CC Interdépartementale des Baronnies","CC"
"240500421","CC du Pays de Serre-Ponçon","CC"
"240500439","CC du Briançonnais","CC"
