"id","code_insee","code_postal","ville"
525,"02103","02450","BOUE"
526,"02104","02160","BOUFFIGNEREUX"
527,"02105","02400","BOURESCHES"
528,"02106","02160","BOURG ET COMIN"
529,"02107","02300","BOURGUIGNON SOUS COUCY"
530,"02108","02000","BOURGUIGNON SOUS MONTBAVIN"
531,"02109","02140","LA BOUTEILLE"
532,"02110","02220","BRAINE"
533,"02111","02320","BRANCOURT EN LAONNOIS"
534,"02112","02110","BRANCOURT LE GRAND"
535,"02114","02400","BRASLES"
536,"02115","02000","BRAYE EN LAONNOIS"
537,"02116","02140","BRAYE EN THIERACHE"
538,"02117","02480","BRAY ST CHRISTOPHE"
539,"02118","02880","BRAYE"
540,"02119","02210","BRECY"
541,"02120","02220","BRENELLE"
542,"02121","02210","BRENY"
543,"02122","02870","BRIE"
544,"02123","02240","BRISSAY CHOIGNY"
545,"02124","02240","BRISSY HAMEGICOURT"
546,"02125","02810","BRUMETZ"
547,"02126","02360","BRUNEHAMEL"
548,"02127","02130","BRUYERES SUR FERE"
549,"02128","02860","BRUYERES ET MONTBERAULT"
550,"02129","02220","BRUYS"
551,"02130","02500","BUCILLY"
552,"02131","02880","BUCY LE LONG"
553,"02132","02870","BUCY LES CERNY"
554,"02133","02350","BUCY LES PIERREPONT"
555,"02134","02500","BUIRE"
556,"02135","02620","BUIRONFOSSE"
557,"02136","02140","BURELLES"
558,"02137","02810","BUSSIARES"
559,"02138","02200","BUZANCY"
560,"02139","02300","CAILLOUEL CREPIGNY"
561,"02140","02300","CAMELIN"
562,"02141","02260","LA CAPELLE"
563,"02142","02680","CASTRES"
564,"02143","02420","LE CATELET"
565,"02144","02490","CAULAINCOURT"
566,"02145","02300","CAUMONT"
567,"02146","02330","CELLES LES CONDE"
568,"02147","02540","LA CELLE SOUS MONTMIRAIL"
569,"02148","02370","CELLES SUR AISNE"
570,"02149","02240","CERIZY"
571,"02150","02860","CERNY EN LAONNOIS"
572,"02151","02870","CERNY LES BUCY"
573,"02152","02220","CERSEUIL"
574,"02153","02320","CESSIERES"
575,"02154","02200","CHACRISE"
576,"02155","02000","CHAILLEVOIS"
577,"02156","02270","CHALANDRY"
578,"02157","02000","CHAMBRY"
579,"02158","02860","CHAMOUILLE"
580,"02159","02670","CHAMPS"
581,"02160","02340","CHAOURSE"
582,"02161","02330","LA CHAPELLE MONTHODON"
583,"02162","02570","LA CHAPELLE SUR CHEZY"
